bpmnElementType,bpmnProcessId,completed,created,duration,elementId,endPosition,ended,flowScopeKey,key,partition,startPosition,version,workflowInstanceKey,workflowKey
END_EVENT,process,true,1551053981451,1,EndEvent_0crvjrk,4295575984,1551053981452,7,896,0,4295571792,1,7,1
END_EVENT,process,true,1551053981450,3,EndEvent_0crvjrk,4295576240,1551053981453,13,897,0,4295572048,1,13,1
END_EVENT,process,true,1551053981450,3,EndEvent_0crvjrk,4295576496,1551053981453,23,898,0,4295572304,1,23,1
SERVICE_TASK,process,true,1551053976712,4741,ServiceTask_0kt6c5i,4295576752,1551053981453,28,31,0,4294995608,1,28,1
PROCESS,process,true,1551053976665,4789,process,4295578024,1551053981454,-1,7,0,4294980856,1,7,1
PROCESS,process,true,1551053976678,4776,process,4295578272,1551053981454,-1,13,0,4294984360,1,13,1
PROCESS,process,true,1551053976698,4756,process,4295578520,1551053981454,-1,23,0,4294990696,1,23,1
END_EVENT,process,true,1551053981454,0,EndEvent_0crvjrk,4295579536,1551053981454,28,900,0,4295578768,1,28,1
PROCESS,process,true,1551053976709,4746,process,4295580040,1551053981455,-1,28,0,4294993864,1,28,1
SERVICE_TASK,process,true,1551053976724,4735,ServiceTask_0kt6c5i,4295582064,1551053981459,33,36,0,4294998776,1,33,1
SERVICE_TASK,process,true,1551053976754,4705,ServiceTask_0kt6c5i,4295582328,1551053981459,43,46,0,4295005112,1,43,1
END_EVENT,process,true,1551053981461,0,EndEvent_0crvjrk,4295584656,1551053981461,33,903,0,4295583120,1,33,1
END_EVENT,process,true,1551053981461,0,EndEvent_0crvjrk,4295584912,1551053981461,43,904,0,4295583376,1,43,1
PROCESS,process,true,1551053976719,4743,process,4295585664,1551053981462,-1,33,0,4294997032,1,33,1
PROCESS,process,true,1551053976749,4713,process,4295585912,1551053981462,-1,43,0,4295003368,1,43,1
SERVICE_TASK,process,true,1551053976738,4726,ServiceTask_0kt6c5i,4295587048,1551053981464,38,41,0,4295001944,1,38,1
END_EVENT,process,true,1551053981465,0,EndEvent_0crvjrk,4295588344,1551053981465,38,906,0,4295587576,1,38,1
PROCESS,process,true,1551053976735,4730,process,4295588848,1551053981465,-1,38,0,4295000200,1,38,1
SERVICE_TASK,process,true,1551053976774,4698,ServiceTask_0kt6c5i,4295590872,1551053981472,48,51,0,4295008280,1,48,1
